"CUST_ID","gender","DateOfBirth","State","Contact","Segment"
21868593,"Female","12-Jan-79","VT","789-916-8172","Platinum"
75740424,"Female","13-Jan-70","ME","265-543-1264","Silver"
30308357,"Female","11-Mar-84","TN","798-631-4758","Silver"
47830476,"Female","01-May-86","MA","413-187-7945","Silver"
19269962,"Male","13-May-77","NV","956-871-8691","Gold"
21831191,"Male","17-May-77","NH","419-712-8513","Gold"
18401412,"Male","02-Mar-99","AR","752-398-2914","Gold"
73486606,"Male","25-Oct-99","AK","256-968-9172","Silver"
32813689,"Male","12-Oct-93","ID","142-324-7481","Silver"
33507197,"Female","09-Sep-66","RI","165-519-4583","Gold"
99103685,"Female","30-Dec-85","KY","764-439-9856","Gold"
51583214,"Male","31-Oct-99","NH","743-486-5264","Platinum"
35875366,"Male","16-Sep-90","MD","954-964-1746","Platinum"
21240703,"Male","22-Jul-63","MD","473-561-2675","Silver"
18288638,"Female","14-Jan-69","MI","314-135-1359","Platinum"
63240241,"Male","26-Jul-77","ME","843-379-4796","Silver"
1407979,"Male","15-Mar-87","RI","165-217-1648","Silver"
63916778,"Male","07-Sep-66","IL","146-157-4572","Platinum"
17004138,"Female","13-Aug-65","WA","436-354-4682","Silver"
9667764,"Female","10-Oct-79","SC","643-978-8251","Platinum"
75584003,"Female","22-Apr-67","OK","723-418-3248","Silver"
90012444,"Male","08-Aug-74","KS","749-961-7265","Platinum"
10665308,"Male","21-Jun-99","CT","324-971-8395","Silver"
35597589,"Female","17-Feb-80","IN","826-731-3964","Gold"
1924109,"Male","13-Dec-81","UT","431-179-6475","Gold"
12871942,"Female","01-Apr-95","IN","591-436-5176","Platinum"
32155446,"Male","07-May-85","AZ","847-936-7645","Gold"
35876516,"Male","29-Oct-96","IL","496-426-6748","Silver"
13265356,"Female","27-Jul-62","IA","462-587-7532","Silver"
80379865,"Male","27-Feb-69","NM","427-513-8479","Gold"
64899302,"Male","17-Jul-94","WI","784-623-7631","Platinum"
11278282,"Male","12-Apr-68","RI","148-178-1792","Silver"
90425966,"Male","23-Dec-71","WY","942-259-7583","Silver"
70459181,"Female","03-Sep-88","NY","493-937-8297","Platinum"
91546921,"Male","22-Sep-74","LA","496-784-4836","Platinum"
26489135,"Male","05-Oct-94","DE","654-456-1493","Platinum"
76422302,"Male","04-Jun-89","GA","958-971-7983","Gold"
27205554,"Male","12-Apr-76","RI","521-912-8139","Silver"
60225946,"Female","27-Aug-77","OH","715-356-4572","Gold"
34790013,"Male","17-Jan-79","NY","935-615-6297","Platinum"
53333796,"Male","23-May-90","RI","857-215-9123","Gold"
28307541,"Male","14-Dec-81","WY","763-156-1836","Gold"
85536059,"Female","26-Apr-75","SD","145-285-4675","Platinum"
54642094,"Male","10-Aug-95","NY","963-813-1973","Silver"
47091036,"Male","22-Oct-86","SD","247-436-8713","Gold"
48277275,"Male","27-Mar-96","WV","928-469-4368","Silver"
75252854,"Male","30-Aug-95","NH","542-927-5413","Gold"
31012778,"Female","09-Jun-93","MA","328-683-8359","Gold"
84571128,"Female","16-Aug-95","ME","946-639-5932","Gold"
38286862,"Female","24-Nov-94","NJ","791-831-2514","Gold"
1163515,"Female","03-Feb-95","TX","978-352-7634","Silver"
18361978,"Female","10-Jul-94","CA","463-645-2453","Platinum"
94953428,"Female","07-Dec-77","DE","671-517-9548","Gold"
